#
# Age1: log(age)_H03
# Age2: log(age)_P12
#
# Mass1: Mass_H03
# Mass2: Mass_P12
#
#GAL   RA        DEC         Age1   e_age  Age2   e_age   Mass1   e_m1  Mass2    e_m2     NAMES
LMC    76.04912  -69.30289   8.06   0.15   8.06   0.26     1294  -1     2200     1450     KMK88-5, H88-105
LMC    79.05833  -69.82500   8.07   0.15   8.16   0.18      619  -1      975      600     HS203
LMC    79.36079  -69.37550   9.00   0.09   8.07   0.47    17219  -1     3200     4400     SL357, BRHT9
LMC    78.25833  -70.67167   7.28   0.15   8.07   0.19      101  -1      550      375     BSDL918
LMC    80.14462  -70.01472   7.20   0.15   8.07   0.03      268  -1     3200      250     HS242
LMC    76.15000  -70.40000   7.18   0.15   8.08   0.12       69  -1      800      250     BSDL551
LMC    74.22500  -70.43000   8.21   0.15   8.17   0.24     2491  -1     4000     2250     NGC1775, SL129
LMC    74.86250  -70.41667   8.38   0.09   8.04   0.20     1600  -1     1025      700     SL160, KMHK402
LMC    78.39896  -68.82453   8.81   0.09   8.10   0.28     1690  -1      600      725     HS179
LMC    76.82917  -68.98500   6.95   0.15   8.10   0.15       65  -1     1000      225     KMK88-21, H88-140
LMC    83.30833  -68.71667   8.51   0.09   8.11   0.08      560  -1      300       75     KMK88-72
LMC    73.52917  -69.94000   7.21   0.15   8.11   0.11       38  -1      650      250     BSDL201
LMC    74.95000  -68.31500   8.30   0.09   8.41   0.29      328  -1      850      675     KMHK403
LMC    73.62083  -69.92000   8.19   0.15   8.15   0.20      540  -1      700      300     SL90, KMHK250
LMC    80.79304  -69.86706   7.97   0.17   8.13   0.25     1837  -1     4500     1950     HS263
