#
# centeralpha, centerdelta: coords of the MCEV region.
# ra_deg, dec_deg: coords of the cluster.
#
# centeralpha   centerdelta   ev_i   sig_ev_i   ra_deg         dec_deg        
  82.8343       -71.6905      0.11   0.078      82.483333333   -72.054722222  
  82.6736       -71.6905      0.1    0.075      82.483333333   -72.054722222  
  82.8343       -71.5372      0.12   0.0735     82.483333333   -72.054722222  
  82.6736       -71.5372      0.1    0.0815     82.483333333   -72.054722222  
  82.5129       -71.5372      0.1    0.0945     82.483333333   -72.054722222  
  82.4768       -71.5395      0.1    0.0925     82.483333333   -72.054722222  
  82.3165       -71.5395      0.09   0.084      82.483333333   -72.054722222  
  82.1563       -71.5395      0.09   0.084      82.483333333   -72.054722222  
  81.9961       -71.5395      0.09   0.091      82.483333333   -72.054722222  
  81.3552       -71.8475      0.08   0.081      82.483333333   -72.054722222  
  81.6757       -71.8475      0.08   0.078      82.483333333   -72.054722222  
  81.5154       -71.8475      0.08   0.0725     82.483333333   -72.054722222  
  81.8359       -71.6935      0.06   0.0965     82.483333333   -72.054722222  
  81.6757       -71.6935      0.06   0.096      82.483333333   -72.054722222  
