#\Rows = 210
#\Cols = 17
#\Coordinate system = equ
#\Equinox = J2000
#\Coordinate format = degree
#\Cutout size unit = degree
#\E_B_V is E(B-V), unit = mag
#\AV is A(V), unit = mag
#\Statistics radius = 5.0 arcmin
#\stdev is the standard deviation of the quantity
#\A(V)/E(B-V) = 3.1 is assumed
#\SandF: Schlafly and Finkbeiner 2011 (ApJ 737, 103)
#\SFD: Schlegel et al. 1998 (ApJ 500, 525)
#|ra             |dec            |cutout_size     |E_B_V_SandF       |mean_E_B_V_SandF  |stdev_E_B_V_SandF |max_E_B_V_SandF   |min_E_B_V_SandF   |AV_SandF          |E_B_V_SFD         |mean_E_B_V_SFD    |stdev_E_B_V_SFD   |max_E_B_V_SFD     |min_E_B_V_SFD     |AV_SFD
#|double         |double         |float           |float             |float             |float             |float             |float             |float             |float             |float             |float             |float             |float             |float
#|deg            |deg            |deg             |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags              |mags
79.758330       -69.001110      2                0.5020             0.6170             0.2242             1.1816             0.3481             1.5562             0.5837             0.7174             0.2607             1.3740             0.4048             1.8095         
80.800000       -70.777780      2                0.1677             0.1642             0.0128             0.1908             0.1448             0.5198             0.1950             0.1909             0.0149             0.2219             0.1684             0.6044         
82.441670       -71.000560      2                0.8624             0.8711             0.2520             1.6446             0.5848             2.6733             1.0027             1.0129             0.2930             1.9124             0.6800             3.1085         
82.941670       -68.235560      2                0.7752             0.7397             0.1475             1.0713             0.5466             2.4032             0.9014             0.8601             0.1715             1.2457             0.6356             2.7944         
83.333330       -68.152220      2                0.5112             0.5511             0.0709             0.7201             0.4545             1.5846             0.5944             0.6408             0.0825             0.8374             0.5285             1.8426         
84.441670       -74.782780      2                0.0721             0.0734             0.0019             0.0768             0.0706             0.2237             0.0839             0.0854             0.0023             0.0893             0.0820             0.2601         
84.783330       -74.853330      2                0.0807             0.0792             0.0035             0.0855             0.0718             0.2503             0.0939             0.0921             0.0040             0.0994             0.0835             0.2911         
85.983330       -69.180560      2                0.9339             1.1276             0.2728             1.5941             0.6611             2.8952             1.0860             1.3112             0.3172             1.8536             0.7687             3.3665         
86.550000       -69.082500      2                0.9522             0.8767             0.0721             0.9623             0.6630             2.9518             1.1072             1.0194             0.0838             1.1190             0.7710             3.4323         
86.716670       -69.189720      2                0.9088             0.9013             0.0700             1.0781             0.7624             2.8172             1.0567             1.0480             0.0814             1.2536             0.8865             3.2758         
91.629170       -72.226390      2                0.0855             0.0857             0.0022             0.0887             0.0807             0.2650             0.0994             0.0997             0.0026             0.1032             0.0938             0.3081         
91.870830       -72.494170      2                0.0817             0.0820             0.0013             0.0848             0.0789             0.2533             0.0950             0.0954             0.0015             0.0985             0.0918             0.2945         
92.220830       -72.383890      2                0.0858             0.0847             0.0010             0.0859             0.0821             0.2660             0.0998             0.0985             0.0012             0.0998             0.0955             0.3093         
93.670830       -69.801940      2                0.0649             0.0665             0.0011             0.0689             0.0649             0.2013             0.0755             0.0773             0.0013             0.0802             0.0755             0.2341         
71.604170       -72.568330      2                0.0973             0.0961             0.0026             0.1003             0.0910             0.3017             0.1132             0.1117             0.0030             0.1166             0.1058             0.3509         
71.875000       -72.588330      2                0.0978             0.0975             0.0026             0.1015             0.0917             0.3030             0.1137             0.1134             0.0031             0.1180             0.1066             0.3524         
