#ID x   y   F555    E_555   F555-F814   e_ff-14 F814    E_814
18632   271.9   2898.38 22.329  0.01    0.428   0.025   21.901  0.015
10677   272.21  2187.54 22.086  0.01    0.355   0.02    21.731  0.01
4514    272.53  1320.5  22.647  0.013   0.522   0.026   22.125  0.013
4122    274.21  1231.2  21.23   0.01    0.361   0.021   20.869  0.011
14780   274.26  2549.61 21.032  0.01    0.07    0.02    20.962  0.01
914 274.7   259.3   22.437  0.012   0.435   0.023   22.002  0.011
7286    274.9   1811.52 21.556  0.01    0.369   0.02    21.187  0.01
4635    275.53  1348.25 22.724  0.011   0.574   0.024   22.15   0.013
18018   277.43  2837.84 19.343  0.009   1.093   0.017   18.25   0.008
4198    278.32  1252.12 21.58   0.01    0.255   0.02    21.325  0.01
24964   279.03  3936.4  21.787  0.01    0.385   0.02    21.402  0.01
290 280.38  36.28   22.767  0.015   0.543   0.028   22.224  0.013
24220   280.42  3745.32 20.553  0.009   0.224   0.019   20.329  0.01
16183   280.64  2672.45 22.322  0.011   0.412   0.022   21.91   0.011
12421   280.99  2345.15 21.341  0.01    0.239   0.02    21.102  0.01
9137    281.23  2035.81 21.458  0.01    0.35    0.02    21.108  0.01
3831    282.67  1161.12 20.547  0.01    0.334   0.021   20.213  0.011
18752   283.6   2909.27 21.263  0.01    0.279   0.02    20.984  0.01
11758   284.14  2286.37 22.809  0.013   0.531   0.026   22.278  0.013
6272    284.17  1655.59 21.427  0.012   0.24    0.022   21.187  0.01
24870   284.8   3909.29 21.699  0.013   0.387   0.026   21.312  0.013
15875   285.03  2644.69 20.942  0.012   0.406   0.023   20.536  0.011
22754   285.35  3443.34 18.941  0.009   1.019   0.017   17.922  0.008
3964    287.41  1192.26 22.606  0.014   0.503   0.027   22.103  0.013
24831   287.69  3897.63 21.238  0.01    0.302   0.02    20.936  0.01
8783    287.77  1994.43 21.519  0.01    0.368   0.02    21.151  0.01
24190   289.75  3739.27 22.212  0.01    0.31    0.022   21.902  0.012
12667   290.05  2368.34 20.809  0.01    0.245   0.02    20.564  0.01
1635    290.76  510.73  22.307  0.012   0.604   0.025   21.703  0.013
3739    291.8   1137.05 22.233  0.01    0.413   0.021   21.82   0.011
4631    293.66  1346.12 22.269  0.011   0.372   0.022   21.897  0.011
11180   294.23  2234.3  21.205  0.01    0.341   0.02    20.864  0.01
9642    294.32  2088.14 21.487  0.024   0.259   0.051   21.228  0.027
21925   294.61  3297.71 20.984  0.01    0.427   0.02    20.557  0.01
21519   294.62  3237    22.872  0.012   0.45    0.028   22.422  0.016
6026    295.2   1614.11 22.339  0.014   0.551   0.028   21.788  0.014
6240    295.87  1650.16 21.954  0.01    0.345   0.02    21.609  0.01
20933   296.58  3158.3  21.277  0.01    0.396   0.02    20.881  0.01
11892   297.09  2297.88 21.43   0.01    0.226   0.02    21.204  0.01
9435    297.31  2066.04 21.855  0.01    0.373   0.02    21.482  0.01
5474    298.52  1525.37 21.478  0.01    0.321   0.021   21.157  0.011
8505    299 1961.9  22.982  0.013   0.697   0.026   22.285  0.013
1071    299.06  319.24  22.552  0.011   0.543   0.024   22.009  0.013
13566   299.5   2444.75 20.182  0.009   0.37    0.019   19.812  0.01
19489   300.14  2989.59 21.782  0.01    0.338   0.021   21.444  0.011
4834    300.23  1389.39 21.827  0.01    0.341   0.02    21.486  0.01
21252   301.43  3202.18 22.188  0.01    0.393   0.023   21.795  0.013
21422   301.46  3224.96 21.705  0.01    0.935   0.023   20.77   0.013
37137   301.73  2795.33 22.651  0.013   0.513   0.028   22.138  0.015
8081    301.83  1915.26 22.519  0.013   0.446   0.023   22.073  0.01
18673   303.04  2902.62 22.433  0.011   0.444   0.024   21.989  0.013
23434   303.06  3575.75 22.505  0.013   0.447   0.027   22.058  0.014
25090   303.15  3968.3  21.362  0.01    0.449   0.02    20.913  0.01
21001   304.56  3167.97 22.46   0.01    0.536   0.02    21.924  0.01
7905    304.76  1892.02 20.122  0.009   0.236   0.019   19.886  0.01
20095   305.61  3056.37 19.942  0.009   1.115   0.018   18.827  0.009
7360    306.15  1819.68 22.161  0.01    0.379   0.02    21.782  0.01
23653   306.45  3619.53 22.599  0.01    0.488   0.021   22.111  0.011
4266    307.07  1264.52 22.628  0.011   0.47    0.024   22.158  0.013
17708   308.21  2808.37 18.667  0.009   1.105   0.017   17.562  0.008
3233    309.15  1005.92 21.315  0.01    0.199   0.02    21.116  0.01
3755    309.71  1140.83 21.456  0.01    0.301   0.02    21.155  0.01
17825   309.8   2819.54 20.76   0.01    0.288   0.024   20.472  0.014
9965    309.87  2121.33 22.483  0.012   0.479   0.025   22.004  0.013
5367    310.3   1505.78 21.198  0.01    0.241   0.021   20.957  0.011
20504   310.63  3104.52 22.235  0.011   0.314   0.024   21.921  0.013
24951   311 3929.95 22.687  0.013   0.44    0.027   22.247  0.014
12519   311.9   2354.55 22.308  0.01    0.476   0.02    21.832  0.01
