#ID x   y   T1  e_T1    CT1 e_CT1
145418  7878.678    588.938 17.05   0.016   1.723   0.023
115886  6473.651    759.848 17.051  0.003   2.227   0.013
278854  8052.381    2520.934    17.054  0.005   2.143   0.006
123360  6823.405    1932.829    17.055  0.022   2.367   0.031
125154  6897.81 1939.612    17.055  0.069   2.202   0.075
100658  5703.494    1645.578    17.059  0.012   2.419   0.013
120940  6718.101    1963.464    17.059  0.006   1.275   0.007
139516  7577.352    606.853 17.06   0.007   -0.498  0.011
136122  7407.595    788.832 17.063  0.016   -0.759  0.023
111642  6250.604    1032.787    17.071  0.009   2.189   0.01
116346  6496.241    1579.157    17.073  0.004   1.374   0.006
238276  5676.456    2917.685    17.074  0.005   1.522   0.006
269035  7481.4  3119.145    17.076  0.003   2.154   0.004
148784  8053.041    1015.476    17.076  0.008   1.034   0.009
127909  7023.671    1618.998    17.079  0.005   2.447   0.017
136926  7449.267    1946.97 17.079  0.002   2.393   0.004
128693  7056.984    1493.07 17.082  0.004   0.313   0.005
273725  7755.264    2164.093    17.082  0.003   -0.045  0.004
130301  7127.798    762.781 17.084  0.005   -0.432  0.006
242807  5944.554    3074.877    17.095  0.006   2.327   0.008
238231  5674.059    3024.014    17.096  0.006   -0.497  0.007
100078  5674.786    932.812 17.096  0.008   -0.026  0.009
111227  6230.816    718.297 17.098  0.007   2.37    0.011
129497  7093.04 2046.941    17.101  0.004   2.223   0.006
264793  7240.23 2917.989    17.102  0.003   2.32    0.006
250394  6428.698    3192.791    17.103  0.014   -0.263  0.028
123999  6849.763    2004.691    17.104  0.006   2.702   0.067
108382  6094.731    728.015 17.105  0.008   2.278   0.009
251416  6488.838    2756.67 17.107  0.008   0.909   0.009
138192  7512.024    612.123 17.108  0.013   2.496   0.014
128234  7038.179    1894.459    17.11   0.014   2.317   0.035
268013  7421.119    2180.671    17.111  0.002   2.317   0.005
150262  8136.557    788.148 17.114  0.013   0.988   0.014
124874  6886.903    2001.367    17.118  0.025   2.385   0.03
239200  5728.215    3063.648    17.125  0.005   2.691   0.008
125586  6916.594    2060.656    17.126  0.004   2.203   0.007
133090  7256.65 1169.906    17.135  0.006   2.381   0.01
149283  8079.499    859.881 17.135  0.008   -0.498  0.014
115133  6436.955    1332.011    17.14   0.007   -0.607  0.011
137715  7488.575    612.828 17.14   0.012   1.598   0.023
123300  6821.078    1076.085    17.141  0.005   0.966   0.006
149303  8080.873    1144.667    17.141  0.01    1.065   0.019
108291  6090.153    1051.164    17.142  0.007   1.166   0.009
129390  7088.45 1385.417    17.142  0.003   -0.205  0.004
123148  6814.566    1637.346    17.146  0.004   2.717   0.006
254589  6674.601    2421.76 17.149  0.005   2.054   0.006
122735  6796.389    1636.248    17.15   0.004   2.474   0.018
114205  6393.616    1458.63 17.154  0.004   -0.159  0.005
98264   5586.723    801.423 17.156  0.007   1.891   0.008
149674  8105.308    555.174 17.161  0.013   -0.242  0.016
105384  5937.957    1846.554    17.164  0.014   1.716   0.015
127139  6989.1  1974.491    17.164  0.04    1.901   0.049
127465  7002.445    1768.634    17.164  0.004   2.033   0.006
249510  6376.999    2371.361    17.166  0.009   2.11    0.01
145126  7863.991    1773.473    17.166  0.004   2.081   0.007
123859  6844.141    1880.007    17.169  0.004   2.086   0.008
128643  7055.101    1876.796    17.171  0.008   2.227   0.022
142308  7718.394    1510.299    17.171  0.005   2.352   0.008
256460  6779.513    2753.242    17.172  0.006   2.823   0.015
258145  6875.747    2436.023    17.172  0.004   1.98    0.005
116118  6483.868    939.324 17.174  0.003   0.949   0.005
129023  7071.535    1994.745    17.175  0.007   1.913   0.031
124383  6867.444    1875.773    17.176  0.007   1.901   0.016
129687  7101.894    755.765 17.183  0.005   2.375   0.006
280397  8142.78 3154.871    17.183  0.003   -0.61   0.019
105428  5940.294    2039.652    17.184  0.012   2.362   0.013
140062  7605.763    1364.252    17.184  0.004   -0.434  0.006
151193  8183.239    1942.484    17.184  0.006   2.06    0.007
255543  6727.022    3051.141    17.185  0.005   1.417   0.006
243716  6025.136    2171.302    17.186  0.012   2.209   0.016
146897  7954.24 1231.493    17.189  0.007   1.939   0.009
105847  5961.126    1713.757    17.19   0.012   1.035   0.013
127858  7021.105    1496.818    17.19   0.006   -0.253  0.007
259802  6964.565    3125.187    17.193  0.003   2.537   0.011
134566  7329.787    1075.471    17.194  0.005   1.824   0.006
252203  6534.39 2927.776    17.195  0.008   2.19    0.009
145276  7871.247    1852.595    17.195  0.004   2.016   0.005
242800  5944.338    2524.033    17.198  0.023   2.189   0.026
134958  7348.72 662.009 17.2    0.007   0.703   0.008
280852  8168.734    2445.477    17.202  0.005   2.01    0.006
274522  7801.924    3198.383    17.203  0.002   2.249   0.005
