#ID	x	y	T1	e_T1	CT1	e_CT1
97722	5559.406	766.115	21.419	0.019	0.235	0.028
236213	5559.433	2310.937	21.702	0.072	0.241	0.075
97724	5559.447	1526.372	20.925	0.016	0.913	0.054
97725	5559.494	1104.423	22.13	0.068	0.712	0.093
236214	5559.498	2985.957	22.73	0.051	0.594	0.082
97727	5559.537	1552.127	22.522	0.051	0.851	0.083
236215	5559.585	3118.113	23.055	0.071	0.614	0.121
236216	5559.593	2646.152	21.782	0.035	0.594	0.043
97728	5559.656	963.555	22.753	0.072	1.332	0.159
97729	5559.673	1862.447	21.455	0.041	0.516	0.065
97730	5559.738	938.617	22.291	0.037	0.656	0.061
236221	5559.873	3054.774	18.485	0.004	1.709	0.006
236223	5559.915	2808.629	23.726	0.153	0.163	0.183
97731	5559.92	1331.853	23.566	0.12	1.017	0.248
236224	5559.925	2118.369	21.592	0.039	0.079	0.047
97732	5559.968	1771.082	23.155	0.079	0.5	0.112
236226	5560.026	2877.106	19.748	0.007	1.37	0.015
97734	5560.042	1085.609	19.868	0.007	-0.374	0.009
97735	5560.088	1309.159	20.381	0.016	0.148	0.017
236227	5560.133	2466.949	23.1	0.082	0.988	0.155
97736	5560.134	1276.249	22.754	0.059	0.688	0.098
236228	5560.193	2890.991	22.337	0.042	0.656	0.08
236229	5560.237	2956.205	21.38	0.02	0.272	0.025
236230	5560.263	2211.318	22.983	0.075	0.74	0.122
97737	5560.287	832.847	20.506	0.012	0.219	0.014
236231	5560.291	3184.936	23.505	0.132	0.714	0.198
236233	5560.324	2277.384	20.236	0.01	1.398	0.016
97738	5560.364	1931.916	21.098	0.016	0.482	0.024
97739	5560.377	946.962	21.127	0.051	0.011	0.052
97741	5560.493	1704.899	20.253	0.04	-0.229	0.041
236234	5560.528	2883.886	22.125	0.031	0.412	0.044
236235	5560.588	2698.992	20.86	0.011	0.231	0.014
97742	5560.693	1840.239	22.506	0.107	-0.125	0.111
97743	5560.701	544.898	22.151	0.055	0.47	0.069
236242	5560.834	2927.732	18.884	0.006	-0.343	0.007
97745	5560.919	1481.104	21.946	0.031	0.673	0.069
97747	5560.963	2040.995	22.124	0.051	0.694	0.189
97748	5560.985	642.751	22.208	0.038	0.476	0.077
236245	5561.064	2658.776	21.235	0.04	0.085	0.042
236247	5561.108	3127.939	20.69	0.013	0.291	0.018
97751	5561.11	2014.794	20.752	0.02	0.106	0.022
97752	5561.121	1873.754	21.984	0.032	0.504	0.046
97753	5561.148	748.295	22.286	0.058	0.606	0.077
97754	5561.149	894.897	22.408	0.042	0.63	0.084
236249	5561.183	2794.974	22.39	0.057	0.482	0.069
97756	5561.193	597.477	21.005	0.026	0.117	0.029
236251	5561.242	2182.405	20.38	0.01	-0.161	0.013
97757	5561.286	1247.292	22.392	0.104	0.347	0.109
236253	5561.294	2692.507	21.834	0.024	0.454	0.034
236254	5561.309	2836.727	22.507	0.072	0.802	0.124
236255	5561.344	2246.125	21.185	0.024	0.866	0.05
97758	5561.537	1167.343	22.971	0.072	0.354	0.098
