#ID	x	y	F555	E_555	F555-F814	e_ff-14	F814	E_814	x_moved	y_moved
40277	134.16	3636.15	24.775	0.071	0.812	0.102	23.963	0.031	435.16	4636.15
39552	134.47	3410.2	26.441	0.265	1.255	0.363	25.186	0.098	435.47	4410.2
21756	134.53	3272.72	24.53	0.034	0.735	0.063	23.795	0.029	435.53	4272.72
39713	134.54	3457.67	26.1	0.17	1.159	0.321	24.941	0.151	435.54	4457.67
40992	134.57	3862.41	25.912	0.149	1.047	0.227	24.865	0.078	435.57	4862.41
6166	134.59	1637.72	18.908	0.011	1.127	0.022	17.781	0.011	435.59	2637.72
34650	135.02	2137.99	26.342	0.316	1.356	0.407	24.986	0.091	436.02	3137.99
40444	135.18	3685.93	25.886	0.217	0.93	0.301	24.956	0.084	436.18	4685.93
13473	135.7	2436.19	24.642	0.052	0.811	0.085	23.831	0.033	436.7	3436.19
651	135.85	157.43	23.129	0.017	0.592	0.03	22.537	0.013	436.85	1157.43
16648	135.86	2712.67	21.286	0.01	0.225	0.02	21.061	0.01	436.86	3712.67
18888	135.95	2923.03	24.638	0.037	0.795	0.071	23.843	0.034	436.95	3923.03
20030	136.08	3047.82	22.428	0.01	0.449	0.02	21.979	0.01	437.08	4047.82
626	136.24	148.06	23.103	0.016	0.685	0.03	22.418	0.014	437.24	1148.06
41639	136.27	4073.9	24.596	0.06	0.856	0.12	23.74	0.06	437.27	5073.9
1362	136.29	417.35	23.601	0.022	0.646	0.039	22.955	0.017	437.29	1417.35
2157	136.31	674.44	22.699	0.017	0.631	0.03	22.068	0.013	437.31	1674.44
40919	136.59	3837.06	22.205	0.011	0.327	0.022	21.878	0.011	437.59	4837.06
31251	136.63	1237.68	25.718	0.104	0.998	0.171	24.72	0.067	437.63	2237.68
3381	136.65	1044.34	24.872	0.066	0.868	0.097	24.004	0.031	437.65	2044.34
2773	137.11	872.12	24.727	0.042	0.765	0.077	23.962	0.035	438.11	1872.12
37288	137.35	2834.14	25.914	0.157	0.996	0.23	24.918	0.073	438.35	3834.14
8246	137.66	1932.22	23.388	0.016	0.642	0.031	22.746	0.015	438.66	2932.22
33343	138.08	1827.49	26.229	0.35	1.066	0.438	25.163	0.088	439.08	2827.49
18565	138.34	2892.57	21.452	0.01	0.602	0.02	20.85	0.01	439.34	3892.57
37848	138.5	2975.68	26.114	0.193	1.019	0.331	25.095	0.138	439.5	3975.68
28025	138.87	52.46	25.635	0.107	1.022	0.165	24.613	0.058	439.87	1052.46
15538	139.07	2615.52	23.906	0.023	0.684	0.045	23.222	0.022	440.07	3615.52
6485	139.26	1691.22	21.962	0.01	0.435	0.02	21.527	0.01	440.26	2691.22
20465	139.59	3098.1	24.793	0.04	0.793	0.071	24	0.031	440.59	4098.1
10957	140.05	2212.38	21.953	0.01	0.261	0.02	21.692	0.01	441.05	3212.38
9940	140.13	2118.48	23.513	0.017	0.648	0.034	22.865	0.017	441.13	3118.48
1831	140.29	576.8	21.736	0.01	0.378	0.021	21.358	0.011	441.29	1576.8
38689	140.32	3182.9	24.924	0.061	0.925	0.096	23.999	0.035	441.32	4182.9
41508	140.46	4035.51	23.08	0.015	0.592	0.028	22.488	0.013	441.46	5035.51
6641	140.49	1717.88	22.285	0.011	0.478	0.021	21.807	0.01	441.49	2717.88
28529	140.5	248.77	25.828	0.161	0.907	0.248	24.921	0.087	441.5	1248.77
7835	140.65	1883.86	22.082	0.01	0.491	0.02	21.591	0.01	441.65	2883.86
36976	140.7	2756.57	26.184	0.188	1.232	0.272	24.952	0.084	441.7	3756.57
18686	140.73	2903.79	23.853	0.023	0.699	0.045	23.154	0.022	441.73	3903.79
13293	140.87	2423.12	23.61	0.017	0.637	0.034	22.973	0.017	441.87	3423.12
31759	140.89	1386.16	25.36	0.068	1.017	0.116	24.343	0.048	441.89	2386.16
30417	141.06	964.02	25.917	0.121	0.984	0.189	24.933	0.068	442.06	1964.02
35082	141.19	2250.47	26.081	0.218	1.189	0.285	24.892	0.067	442.19	3250.47
1807	141.3	567.36	22.946	0.014	0.678	0.027	22.268	0.013	442.3	1567.36
42057	141.33	4152.64	24.171	0.031	0.683	0.051	23.488	0.02	442.33	5152.64
11131	141.47	2229.26	22.75	0.012	0.513	0.023	22.237	0.011	442.47	3229.26
28479	141.5	231.23	25.441	0.085	1.002	0.138	24.439	0.053	442.5	1231.23
196	141.51	0	23.456	0.024	0.668	0.058	22.788	0.034	442.51	1000
7607	141.91	1853.45	24.718	0.05	0.851	0.085	23.867	0.035	442.91	2853.45
4251	141.96	1261.72	21.738	0.01	0.223	0.02	21.515	0.01	442.96	2261.72
9212	142.51	2043.29	24.727	0.043	0.827	0.075	23.9	0.032	443.51	3043.29
21555	142.76	3242.54	19.335	0.009	0.973	0.017	18.362	0.008	443.76	4242.54
5646	142.98	1555.83	20.854	0.01	0.928	0.02	19.926	0.01	443.98	2555.83
35857	143.03	2460.33	25.632	0.092	1.092	0.144	24.54	0.052	444.03	3460.33
