#
# Combined Table 1 & 2 using the GALEV z=0.004 model.
#
# Age: Uncorrected age
# Agec: Extinction corrected age
#
#   http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/129/2701/table1
#   http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/129/2701/table2
#
#Seq  RAJ2000       DEJ2000      Vmag   e      U-B    e      B-V    e      V-I    e      Model  Z      Seq    Age    e      E      Agec  e    E     Contam
#     h:m:s         d:m:s        mag    mag    mag    mag    mag    mag    mag    mag                         Myr    Myr    Myr    Myr   Myr  Myr
85    0 53 24.74   -72 11 47.6   11.73  0.12   -0.34  0.05   0.32   0.03   1.06   0.03   GALEV  0.004  85     104    52     132    48    28   100
86    0 53 28.06   -71 23 55.2   12.88  0.05   -0.62  0.04   0.03   0.02   -0.02  0.03   GALEV  0.004  86     8      3      12     8     3    18
87    0 54 14.31   -72 14 27.3   12.07  99.99  -0.15  99.99  0.16   99.99  0.67   99.99  GALEV  0.004  87     400    104    700    108   28   432
88    0 54 46.13   -72 7  32.4   14.63  99.99  -0.3   99.99  -0.16  99.99  -0.03  99.99  GALEV  0.004  88     8      3      100    8     3    20    X
89    0 54 46.74   -73 13 22.9   13.11  99.99  0.15   99.99  1.25   99.99  1.19   99.99  GALEV  0.004  89     14000  7420   21000  14000 5820 21000
90    0 54 48.5    -72 27 53.6   12.85  0.15   -0.23  0.04   0.14   0.03   0.3    0.03   GALEV  0.004  90     100    92     150    80    76   88
91    0 54 54.21   -72 6  48     13.07  99.99  -0.3   99.99  -0.06  99.99  1.37   99.99  GALEV  0.004  91     128    120    240    128   112  264   X
92    0 55 16.06   -71 50 31.7   16.49  99.99  0.51   99.99  0.07   99.99  0.29   99.99  GALEV  0.004  92     808    636    1100   672   364  1024
93    0 55 17.06   -73 30 5.4    14.11  1.26   -0.07  0.05   0.33   0.17   0.47   0.07   GALEV  0.004  93     400    388    464    100   92   108
94    0 55 12.32   -73 17 52.1   15.5   0.66   0.21   0.04   0.34   0.08   0.63   0.08   GALEV  0.004  94     972    836    1100   640   552  788
95    0 55 29.85   -73 4  31.8   12.43  0.95   0.16   0.15   0.57   0.16   0.65   0.03   GALEV  0.004  95     99999  99999  99999  99999 9999 99999 X
96    0 55 33.18   -72 50 0.1    12.89  0.35   0.09   0.03   0.36   0.03   0.69   0.04   GALEV  0.004  96     780    716    860    400   388  444
97    0 55 33.74   -74 3  44.1   15.23  0.22   0.3    0.14   0.57   0.04   0.73   0.05   GALEV  0.004  97     1264   1148   1356   1216  1056 1368
98    0 56 20.59   -72 27 12.5   9.55   99.99  -0.39  99.99  0.21   99.99  0.66   99.99  GALEV  0.004  98     99999  99999  99999  99999 9999 99999
99    0 56 46.37   -73 53 56.4   12.72  1.09   0.14   99.99  0.58   99.99  0.82   99.99  GALEV  0.004  99     932    504    13880  588   104  1204  X
100   0 56 55.94   -70 46 32.8   15.11  0.02   -0.19  0.04   0.34   0.03   0.78   0.03   GALEV  0.004  100    448    376    492    116   74   180
101   0 57 31.42   -72 15 48.1   11.69  99.99  -0.39  99.99  -0.01  99.99  0.35   99.99  GALEV  0.004  101    80     12     112    12    8    108
102   0 57 42.62   -73 26 7.4    12.73  0.8    0.01   0.13   0.98   0.14   0.99   0.04   GALEV  0.004  102    6360   3060   14000  6360  2400 14000
103   0 57 48.53   -74 19 31.6   14.24  0.38   0.33   0.06   0.55   0.05   0.66   0.04   GALEV  0.004  103    1064   996    1216   1016  836  1148  X
104   0 57 48.9    -74 28 0.2    12.21  0.19   0.29   0.06   0.73   0.05   1.01   0.04   GALEV  0.004  104    2352   1916   2880   2080  1256 2780
105   0 57 51.06   -73 32 27.4   16     0.34   0.65   0.11   1.13   0.07   1.15   0.05   GALEV  0.004  105    12020  10380  14000  11980 6260 14000
106   0 58 7.11    -73 55 56.8   16.32  2.39   0.34   0.2    0.24   0.1    0.17   0.4    GALEV  0.004  106    796    468    1104   628   48   1004
107   0 58 16.59   -74 36 28     16.86  0.19   0.26   0.06   0.57   0.05   0.72   0.07   GALEV  0.004  107    1220   1120   1376   1144  1004 1344
108   0 58 50.62   -71 52 10.3   15.78  0.32   0.1    0.08   0.05   0.1    0.28   0.11   GALEV  0.004  108    100    92     740    100   76   104
109   0 59 3.43    -73 50 24.6   16.47  0.54   0.39   99.99  0.63   99.99  0.8    99.99  GALEV  0.004  109    1972   1120   5320   1264  960  6080
110   0 59 7.25    -72 8  59.1   12.25  1.52   -0.07  0.12   0.76   0.08   0.37   0.42   GALEV  0.004  110    6160   2400   7820   5820  1060 10240 X
111   0 59 14.83   -71 46 8.9    13.45  0.41   0.1    0.04   0.03   0.04   0.4    0.05   GALEV  0.004  111    104    100    156    100   96   156   X
112   0 59 15.32   -72 36 27.8   14.26  0.71   -0.05  0.03   0.26   0.04   0.38   0.16   GALEV  0.004  112    592    500    664    200   136  276
113   0 59 25.42   -73 49 1.2    15.73  1.68   0.46   0.78   0.67   0.18   0.72   0.06   GALEV  0.004  113    400    116    896    112   32   632
114   0 59 40.56   -71 44 34.2   15.07  99.99  0.13   99.99  0.35   99.99  0.88   99.99  GALEV  0.004  114    908    528    1212   584   116  1008  X
115   0 59 48.73   -72 20 1.4    11.96  0.14   -0.12  0.05   0.3    0.03   0.63   0.09   GALEV  0.004  115    492    408    620    112   104  272
116   1 0  0.26    -72 22 18.2   12.31  0.25   -0.25  0.03   0.53   0.03   0.98   0.07   GALEV  0.004  116    500    316    524    304   264  348   X
117   1 0  7.45    -71 52 34.3   15.05  1.05   0.08   0.14   0.29   0.61   0.59   0.11   GALEV  0.004  117    640    368    924    104   48   424
118   1 0  13.47   -72 27 40.8   13.26  1.09   -0.56  0.03   0.27   0.17   0.54   0.58   GALEV  0.004  118    28     16     40     20    8    24
119   1 0  25.11   -71 17 43.8   15.18  0.39   0.11   0.43   0.78   0.13   0.99   0.62   GALEV  0.004  119    6160   1736   14000  5160  1132 14000
120   1 0  30.12   -73 52 44.1   14.81  3.26   0.56   0.38   0.67   0.18   1.23   0.78   GALEV  0.004  120    2700   1064   14000  2420  780  14000 X
121   1 0  30.52   -73 5  14.4   13.78  1.07   0.2    0.05   0.41   0.27   0.64   0.47   GALEV  0.004  121    1052   884    1220   948   748  1168  X
122   1 0  32.28   -72 15 30.7   15.55  0.16   1.23   99.99  0.91   99.99  1.24   99.99  GALEV  0.004  122    12020  8780   14000  12000 6840 14000 X
123   1 0  33.87   -72 21 50.8   12.54  0.45   -0.46  0.06   0.17   0.08   0.51   0.18   GALEV  0.004  123    48     32     88     28    12   48    X
124   1 0  34.37   -72 14 19.2   15.24  0.28   -0.62  0.04   -0.12  0.04   -0.11  0.03   GALEV  0.004  124    8      3      12     8     3    18
125   1 0  34.5    -71 27 38     14.28  0.75   -0.07  0.3    0.75   0.08   0.9    0.03   GALEV  0.004  125    1216   1056   1324   1120  872  1316
126   1 0  49.42   -73 20 57     13.18  99.99  0.04   99.99  0.38   99.99  0.71   99.99  GALEV  0.004  126    768    412    1148   400   100  888
127   1 1  0.12    -73 9  22.2   14.46  0.7    0.07   0.22   0.21   0.16   0.9    0.57   GALEV  0.004  127    672    124    1124   160   28   992   X
128   1 1  0.39    -72 44 59.6   14.32  0.75   -0.3   0.03   0.22   0.14   0.36   0.64   GALEV  0.004  128    120    104    216    56    44   100
129   1 1  7.13    -71 45 14     14.26  99.99  0.32   99.99  0.1    99.99  0.39   99.99  GALEV  0.004  129    796    564    1044   628   56   932   X
130   1 1  32.91   -72 12 16.6   14.13  99.99  -0.1   99.99  0.32   99.99  1      99.99  GALEV  0.004  130    508    148    932    264   104  696   X
131   1 1  37.53   -72 24 23.1   14.6   0.38   -0.46  0.04   0      0.06   -0.04  0.09   GALEV  0.004  131    8      3      12     8     3    18
