#
# Age1: log(age)_DB
# Age2: log(age)_asteca
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age      Mass1   e_mass    Mass2   e_mass  E_BV/VI  quality/class
#
P12   LMC   NGC1917   9.46   0.08  9.15   0.08  100000.00     5000   4000.0   1000.0     -1.0       --
P12   LMC  KMHK1023   8.91   0.22   9.4    0.1     700.00      450   2400.0    700.0     -1.0       --
P12   LMC    H88-52   8.73   0.07   9.2    0.1    2500.00      750    400.0    200.0     -1.0       --
P12   LMC   NGC1865   8.38   0.20   8.8   0.06   12000.00     6000   6000.0   2000.0     -1.0       --
P12   LMC   NGC2108   7.41   0.14   9.0   0.05     700.00      275   6000.0   1000.0     -1.0       --
P12   LMC   H88-265   7.98   0.09   8.3    0.9    1500.00      250    800.0    200.0     -1.0       --
P12   LMC   NGC1793   7.79   0.20   8.3    0.8    6500.00     2500    600.0    300.0     -1.0       --
P12   LMC     HS390   7.92   0.12   8.0    0.2     950.00      125    600.0    200.0     -1.0       --
P12   LMC   NGC1839   7.87   0.27   8.3    0.5    8000.00     3400   3400.0    500.0     -1.0       --
P12   LMC     SL154   8.29   0.35   8.9   0.07    1775.00     1400   1000.0    200.0     -1.0       --
P12   LMC    H88-40   8.71   0.17  8.95   0.06    2850.00      650   1000.0    300.0     -1.0       --
P12   LMC     SL397   7.71   0.20   8.0    0.6    6000.00     2750   2200.0    300.0     -1.0       --
P12   LMC   NGC1751   9.06   0.01   9.1   0.05   65000.00    10000   9000.0   1000.0     -1.0       --
P12   LMC     SL290   8.20   0.45  8.95   0.08    2800.00     1400   1200.0    300.0     -1.0       --
P12   LMC     SL151   9.19   0.20  9.15   0.06   14000.00     6500   1600.0    500.0     -1.0       --
P12   LMC     SL132   8.79   0.36   9.1    0.8    1800.00     1000   2800.0    300.0     -1.0       --
P12   LMC      SL96   8.87   0.03  9.15   0.05    3000.00      500   2000.0    500.0     -1.0       --
P12   LMC     SL162   8.46   0.48  9.15   0.07    3350.00     2150   3400.0    500.0     -1.0       --
P12   LMC   NGC1863   7.45   0.20   8.0    0.9    9500.00     5250   2000.0   1000.0     -1.0       --
P12   LMC  KMHK1055   8.75   0.14   9.0    1.0    3000.00     1000   4000.0   1000.0     -1.0       --
P12   LMC     SL588   8.70   0.15   8.8    0.4    7000.00     2500   1600.0    700.0     -1.0       --
P12   LMC   BSDL341   7.64   0.09   8.4    0.1     650.00      150   3400.0    500.0     -1.0       --
P12   LMC     HS247   8.08   0.20   8.8    0.2     650.00      600    600.0    300.0     -1.0       --
P12   LMC   H88-269   8.40   0.36  8.85   0.05    2700.00     1825   3000.0   1000.0     -1.0       --
P12   LMC   H88-320   8.02   0.04   8.1    0.3    1200.00      100   1200.0    200.0     -1.0       --
P12   LMC     SL244   9.43   0.01  9.15   0.09   35000.00     4000   4000.0   1000.0     -1.0       --
P12   LMC   NGC1836   8.30   0.18   8.8    0.1   13000.00     4250   4000.0   2000.0     -1.0       --
P12   LMC   NGC1860   7.80   0.27   8.8   0.05    2650.00     2050   8400.0    600.0     -1.0       --
P12   LMC   H88-316   7.27   0.23   7.7    0.2     950.00      800   5000.0   1000.0     -1.0       --
P12   LMC   KMHK378   7.37   0.13   8.3    0.9    1450.00      525    200.0    200.0     -1.0       --
P12   LMC   BSDL268   7.51   0.16   8.1    0.4    1900.00      500    800.0    300.0     -1.0       --
P12   LMC   NGC2093   7.48   0.15   8.0    0.4    6500.00     2650   1000.0    200.0     -1.0       --
P12   LMC   H88-245   8.02   0.22   8.7    0.2     550.00      500    400.0    200.0     -1.0       --
P12   LMC   H88-279   7.97   0.17   8.6    0.9    1100.00      450   1000.0    300.0     -1.0       --
P12   LMC  KMHK1045   8.86   0.04   8.8    0.2     750.00      150    200.0    200.0     -1.0       --
P12   LMC     SL551   7.95   0.10   7.9    0.5    1800.00      550    400.0    200.0     -1.0       --
P12   LMC   KMHK975   7.88   0.22   6.7   0.09     200.00      300    600.0    200.0     -1.0       --
P12   LMC     SL579   7.75   0.07   7.0    0.3    3000.00      650    600.0    200.0     -1.0       --
P12   LMC     SL218   7.73   0.09  8.85   0.05    2700.00      750   1000.0    300.0     -1.0       --
