#
# http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J/AcA/50/337
#
#OGLE-CL    RAJ2000      DEJ2000      Rad l   logt   e   logt2   e  
#           "h:m:s"      "d:m:s"   arcsec     [yr]  [yr]  [yr]  [yr]
#
    218  05 12 17.18  -69 17 31.9     13     9.10  0.10  99.9 99.99
    219  05 12 18.11  -69 17 02.9     19     8.00  0.05  99.9 99.99
    220  05 12 21.16  -69 24 41.3     14     8.05  0.05  99.9 99.99
    221  05 12 25.01  -68 46 19.0     34     8.60  0.05  99.9 99.99
    222  05 12 27.60  -69 33 21.8     11     8.90  0.05  99.9 99.99
    223  05 12 27.72  -69 21 04.7     31     8.75  0.05  99.9 99.99
    224  05 12 30.25  -67 17 27.9     16     7.00  0.10  99.9 99.99
    225  05 12 32.72  -69 13 45.8     16     7.80  0.10  99.9 99.99
    226  05 12 34.43  -69 17 13.7     16     7.60  0.08  99.9 99.99
    227  05 12 38.05  -69 17 33.0     14     7.90  0.10  99.9 99.99
    228  05 12 39.67  -69 10 48.6     16     7.80  0.05  99.9 99.99
    229  05 12 40.28  -67 37 24.1     25     7.90  0.05  99.9 99.99
    230  05 12 48.98  -68 51 51.4     18     8.00  0.05  99.9 99.99
    231  05 12 57.20  -68 56 33.0     23     8.00  0.08  99.9 99.99
    232  05 12 57.60  -69 04 05.7     12     8.25  0.05  99.9 99.99
    233  05 13 03.60  -69 02 59.6     16     9.05  0.05  99.9 99.99
    234  05 13 07.87  -69 26 58.0     26     7.80  0.10  99.9 99.99
    235  05 13 10.88  -69 07 02.9     28     7.95  0.05  99.9 99.99
    236  05 13 11.65  -69 18 45.0     43     8.50  0.10  99.9 99.99
    237  05 13 13.22  -69 22 30.3     18 <   6.70 99.99  99.9 99.99
    238  05 13 19.04  -69 21 44.5     32 <   6.70 99.99  99.9 99.99
    239  05 13 19.34  -69 12 33.8     14     8.55  0.05  99.9 99.99
    240  05 13 21.75  -69 22 37.9     27     7.00  0.10  99.9 99.99
    241  05 13 25.65  -69 10 50.1     18     6.70  0.05  99.9 99.99
    242  05 13 28.42  -69 22 21.7     23 <   6.70 99.99  99.9 99.99
    243  05 13 29.40  -69 27 57.2     23     8.80  0.10  99.9 99.99
    244  05 13 35.75  -68 49 28.3     18     7.60  0.10  99.9 99.99
    245  05 13 37.33  -69 18 03.3     23 <   6.70 99.99  99.9 99.99
    246  05 13 38.90  -69 23 02.0     18 <   6.80 99.99  99.9 99.99
    247  05 13 40.08  -69 22 26.8     11     7.80  0.10  99.9 99.99
    248  05 13 50.85  -69 29 37.9     12     7.80  0.10  99.9 99.99
    249  05 13 53.97  -69 24 18.9     12     8.40  0.10  99.9 99.99
    251  05 14 01.55  -68 56 59.1     12     8.20  0.05  99.9 99.99
    253  05 14 17.64  -69 06 00.9     12     8.50  0.08  99.9 99.99
    254  05 14 39.80  -68 57 48.2     13     8.00  0.10  99.9 99.99
    255  05 14 48.29  -68 54 21.6     24     8.10  0.05  99.9 99.99
    257  05 14 51.14  -69 25 46.8     11     8.75  0.10  99.9 99.99
    259  05 15 02.34  -69 20 08.3     23     8.70  0.07  99.9 99.99
    261  05 15 06.95  -68 58 43.4     33     8.10  0.03  99.9 99.99
    262  05 15 14.62  -68 52 57.2     22     8.10  0.10  99.9 99.99
    265  05 15 25.80  -69 03 02.7     18     8.20  0.10  99.9 99.99
    266  05 15 27.32  -69 20 43.0     18     8.00  0.10  99.9 99.99
    268  05 15 34.64  -69 34 42.0      8     7.50  0.10  99.9 99.99
    269  05 15 35.62  -69 08 20.8     29     8.05  0.80  99.9 99.99
    270  05 15 37.18  -69 28 24.5     25     6.70  0.10  99.9 99.99
    272  05 15 39.48  -69 37 40.1     14     8.90  0.05  99.9 99.99
    273  05 15 40.26  -69 16 50.7     45     7.55  0.05  99.9 99.99
    274  05 15 40.46  -69 20 18.2     13     7.95  0.05  99.9 99.99
    276  05 15 46.50  -69 14 39.2     18     7.75  0.05  99.9 99.99
    278  05 15 52.01  -69 28 08.2     31     7.85  0.05  99.9 99.99
    281  05 16 01.40  -69 24 47.3     41     7.90  0.10  99.9 99.99
    282  05 16 03.53  -69 06 09.2     18     8.45  0.05  99.9 99.99
    284  05 16 16.04  -69 26 19.9     15     7.60  0.10  99.9 99.99
