#
# Glatt et al. (2010); http://vizier.u-strasbg.fr/viz-bin/VizieR?-source=J/A%2BA/517/A50
#
# l: limit uncertainty error flag
#
# q  : Class code as follows:
# 1 =	objects having Δ(log(age(yr)))<0.3
# 2 =	objects having 0.3 <Δ(Log(Age(yr)))<0.5
# 3 =	objects having Δ(Log(Age(yr)))>0.5
#
#
#Name    n  E(B-V)     R   l   Age  q   Age2   RAJ2000   DEJ2000    Vmag    e    SimbadName         Cross-ID                                      
#             mag   arcmin     [yr]     [yr]   "h:m:s"   "d:m:s"     mag   mag                                                                    
LMC0352 *   0.030   0.400     8.40 1  99.99  05 00 22  -70 56 40  14.570  0.11  [SL63] 169         SL169,BRHT26a,KMHK430                         
LMC0355     0.030   0.350     7.80 1  99.99  05 00 30  -68 27 24  12.710  0.13  KMHK424            KMHK424                                       
LMC0356 *   0.060   0.430     8.35 1  99.99  05 00 33  -70 56 54  14.820  0.11  [SL63] 171         SL171,BRHT26b,KMHK434                         
LMC0360     0.030   0.670     8.50 2  99.99  05 00 41  -66 53 37  13.590  0.12  [SL63] 167         SL167,KMHK422                                 
LMC0362     0.080   0.550     8.30 2  99.99  05 00 44  -65 27 18  12.210  0.13  [SL63] 168         SL168,LW114,KMHK418                           
LMC0363     0.100   0.360     7.80 1  99.99  05 00 50  -71 03 16  13.570  0.11  [SL63] 175         SL175                                         
LMC0365     0.050   0.350     8.40 1  99.99  05 00 51  -65 49 48  13.440  0.11  [HS66] 84          HS84,KMHK425                                  
LMC0369     0.200   0.450     7.80 2  99.99  05 01 04  -69 04 57  11.670  0.13  NGC1804            NGC1804,SL172,ESO56SC46                       
LMC0374     0.050   0.430     8.40 1  99.99  05 01 14  -67 32 18  14.870  0.11  H88 90             H88-90,KMHK438                                
LMC0376     0.050   0.350     7.50 2  99.99  05 01 21  -65 55 22  13.830  0.12  KMHK437            H88-91,KMHK437                                
LMC0381     0.050   0.480     8.20 2  99.99  05 01 28  -68 42 47  13.000  0.14  [SL63] 176         SL176,KMHK448                                 
