#
# http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/ApJ/751/122/table1
#
# Age1: log(age), Hunter et al. (2003). 10.00 --> No age determination
# Age2: log(age), Glatt et al. 2010 (CMD age)
# E(B-V): Glatt et al. 2010, E(B-V) CMD color excess 
# Age: log(age), MASSCLEAN
# E, e: upper and lower uncertainties.
#
#Name                VMag     e      U-B     e      B-V     e      V-R     e     Age1   Age2   e    E(B-V)   Age    E     e     Mass   E     e    G10  SimbadName      _RA        _DE   
#                     mag    mag     mag    mag     mag    mag     mag    mag    [yr]   [yr]  [yr]    mag    [yr]  [yr]  [yr]   Msun  Msun  Msun                       deg        deg   
HS66.KMHK284       -4.416  0.024  -0.733  0.007  -0.222  0.024  -0.075  0.059   6.71   7.90  0.40   0.100   7.56  0.04  0.25    450   550   250    1  [HS66] 66    073.83750  -69.94167
SL49               -6.500  0.007  -0.588  0.003   0.203  0.007   0.347  0.012   7.00   7.50  0.50   0.130   7.57  0.03  0.07   3500   200  1000    2  [SL63] 49    072.54167  -68.99833
NGC1847.SL240      -8.183  0.007  -0.485  0.004   0.009  0.008   0.129  0.012   7.20   7.30  0.50   0.200   7.58  0.21  0.30  15000  8000  9000    1  NGC1847      076.78558  -68.97297
SL212              -6.492  0.008  -0.402  0.003  -0.040  0.008   0.015  0.017   7.22   7.50  0.40   0.130   7.60  0.27  0.01   3000  2000   300    1  [SL63] 212   076.30058  -68.55283
H88-309.KMHK1230   -6.396  0.006  -0.697  0.002  -0.011  0.006  -0.010  0.014   6.71   7.50  0.30   0.100   7.60  0.11  0.28   4500  1000  2900    1  H88 309      085.30000  -68.86500
SL288              -6.897  0.007  -0.562  0.003  -0.097  0.007  -0.097  0.016   7.28   7.70  0.40   0.130   7.62  0.01  0.03   6000   500   500    1  [SL63] 288   077.66279  -69.04194
BRHT45b            -5.832  0.011  -0.524  0.004  -0.222  0.011  -0.080  0.026   7.00   7.60  0.40   0.250   7.62  0.18  0.32   2200  1300  1900    1  BRHT45b      074.21667  -68.00500
KMHK271            -5.432  0.011  -0.715  0.004  -0.064  0.011   0.104  0.022   6.71   7.50  0.40   0.080   7.62  0.21  0.32   2200   800  2000    1  KMHK271      073.76667  -69.46167
KMK88-42.H88-216   -6.345  0.010  -0.416  0.006   0.090  0.011   0.046  0.021   7.19   7.80  0.30   0.200   7.62  0.32  0.18   2700  2800  1200    1  KMK88 42     078.20408  -68.86428
SL397              -6.874  0.008  -0.549  0.004   0.015  0.009   0.083  0.016   7.38   7.80  0.30   0.150   7.62  0.18  0.21   5500  2500  3000    1  [SL63] 397   080.05000  -68.90500
NGC1815.SL189      -6.576  0.011  -0.609  0.004   0.058  0.011   0.105  0.023   7.25   7.80  0.30   0.050   7.63  0.12  0.20   4500  2000  2300    1  NGC1815      075.61250  -70.62167
SL495.KMHK933      -7.210  0.005  -0.556  0.002  -0.057  0.005   0.038  0.009   7.29   7.40  0.30   0.130   7.63  0.08  0.20   8000  1000  3500    1  [SL63] 495   082.01250  -68.81167
BSDL66             -5.906  0.010  -0.184  0.007   0.751  0.012   0.624  0.016  10.00   7.60  0.30   0.130   7.64  0.07  0.06   1100   200   100    1  BSDL66       072.48333  -68.93833
BSDL2320           -6.773  0.005  -0.657  0.002  -0.005  0.005   0.002  0.011  10.00   7.50  0.40   0.130   7.64  0.01  0.04   6500   500   500    1  BSDL2320     083.41667  -69.11667
HS72.BRHT45a       -4.616  0.021  -0.653  0.008  -0.256  0.021   0.037  0.052   6.73   8.00  0.40   0.150   7.65  0.07  0.16    900   400   700    1  [HS66] 72    074.22500  -68.00167
SL232.KMHK545      -6.561  0.013  -0.517  0.007   0.103  0.014   0.102  0.028   7.38   8.20  0.40   0.100   7.65  0.16  0.08   4000  2000   800    1  [SL63] 232   076.58500  -70.47972
KMHK424            -6.081  0.008  -0.617  0.003  -0.020  0.008   0.072  0.016   7.25   7.80  0.30   0.130   7.66  0.02  0.07   3500   200   500    1  KMHK424      075.12500  -68.45667
KMHK540            -5.602  0.012  -0.309  0.006   0.340  0.013   0.284  0.022   6.93   7.70  0.40   0.130   7.66  0.26  0.01   1000  1000   100    1  KMHK540      076.54200  -70.01450
BSDL2161           -4.057  0.026  -0.682  0.008  -0.247  0.026   0.097  0.060  10.00   7.80  0.40   0.050   7.66  0.20  0.21    400   600   200    1  BSDL2161     082.95417  -67.29667
KMHK1098           -7.064  0.005  -0.504  0.002  -0.054  0.005   0.063  0.011   7.28   7.50  0.30   0.100   7.66  0.16  0.16   6500  2500  2000    1  KMHK1098     083.67083  -67.50333
SL216.KMHK521      -6.193  0.009  -0.637  0.003  -0.049  0.009   0.009  0.022   7.28   7.70  0.30   0.130   7.67  0.01  0.45   4000   500  3800    1  [SL63] 216   076.23846  -70.01900
KMHK572            -6.098  0.015  -0.468  0.009   0.061  0.017   0.149  0.028   7.19   7.60  0.30   0.280   7.67  0.22  0.16   2500  2000  1200    1  KMHK572      076.97917  -70.03333
H88-12.H80F1-11    -5.042  0.012  -0.650  0.004  -0.066  0.012  -0.094  0.030   6.54   7.90  0.40   0.020   7.67  0.16  0.25   1700   300  1500    1  H88 12       073.12083  -68.82833
SL116.KMHK315      -6.881  0.013  -0.280  0.006   0.047  0.014   0.153  0.024   7.63   7.80  0.30   0.130   7.68  0.02  0.04   3500   500   500    1  [SL63] 116   074.10000  -68.80333
H88-20.H80F1-16    -5.615  0.011  -0.157  0.005   0.060  0.011   0.094  0.023   7.51   7.80  0.30   0.130   7.69  0.21  0.01    900   500   150    1  H88 20       073.61250  -68.51667
H88-24.KMHK263     -4.681  0.016  -0.652  0.005  -0.164  0.016   0.035  0.040   6.71   8.00  0.30   0.070   7.69  0.13  0.21   1100   400   800    1  H88 24       073.77917  -67.48333
NGC1804.SL172      -6.493  0.007  -0.523  0.003  -0.103  0.007  -0.065  0.015   7.28   7.80  0.40   0.130   7.70  0.04  0.01   4500   500   500    1  NGC1804      075.26875  -69.08425
