#
# Age1: log(age)_DB
# Age2: log(age)_asteca
# Age3: log(age)_literature
#
# E_BV1: E_BV_DB
# E_BV2: E_BV_asteca
# E_BV3: E_BV_lit
#
# Mass1: Mass_DB
# Mass2: Mass_asteca
#
#DB   GAL      NAME   Age1  e_age  Age2  e_age   Age3  e_age      Mass1   e_mass    Mass2   e_mass    E_BV1    E_BV2   e_E_BV    E_BV3   e_E_BV
R05   SMC       L62   9.32   0.92   7.6   -1.0   8.10   0.24      -1.00       -1     1473     -1.0    -1.00     0.16     -1.0     0.06     0.02
R05   SMC      HW55   9.15   0.84   9.1   -1.0   9.40   0.28      -1.00       -1     1446     -1.0    -1.00     0.08     -1.0     0.02    -1.00
R05   SMC       L50   7.94   2.28   7.7   -1.0   7.90   0.25      -1.00       -1     1389     -1.0    -1.00     0.13     -1.0     0.07     0.02
R05   SMC    H86-70   9.72   0.64  8.75   -1.0   8.80   0.16      -1.00       -1     1492     -1.0    -1.00     0.06     -1.0     0.04    -1.00
R05   SMC      HW31   9.27   0.99   9.1   -1.0   9.68   0.21      -1.00       -1     1315     -1.0    -1.00     0.12     -1.0     0.03     0.01
R05   SMC      HW22   9.64   0.76  9.65   -1.0   9.78   0.22      -1.00       -1     1133     -1.0    -1.00     0.04     -1.0     0.06    -1.00
R05   SMC      HW63   9.41   1.29  9.55   -1.0   9.73   0.19      -1.00       -1     1326     -1.0    -1.00     0.04     -1.0     0.04     0.02
R05   SMC      HW40   9.74   0.64   9.4   -1.0   9.73   0.19      -1.00       -1     1162     -1.0    -1.00     0.09     -1.0     0.06     0.01
R05   SMC       L35   7.85   1.24  7.85   -1.0   8.34   0.23      -1.00       -1     1419     -1.0    -1.00     0.06     -1.0     0.02     0.02
R05   SMC       L91   9.58   0.80   9.5   -1.0   9.63   0.23      -1.00       -1     1498     -1.0    -1.00        0     -1.0     0.04     0.01
R05   SMC      HW41   9.55   0.87   9.5   -1.0   9.78   0.17      -1.00       -1     1316     -1.0    -1.00     0.07     -1.0     0.06     0.01
R05   SMC       L19   9.85   0.79  9.15   -1.0   9.32   0.14      -1.00       -1     1424     -1.0    -1.00      0.1     -1.0     0.01     0.02
R05   SMC       L58   9.02   0.86     9   -1.0   9.30   0.15      -1.00       -1     1484     -1.0    -1.00     0.07     -1.0     0.02    -1.00
R05   SMC      HW47   9.91   0.68     9   -1.0   9.45   0.18      -1.00       -1     1337     -1.0    -1.00    0.085     -1.0     0.05     0.02
R05   SMC       L30   8.12   0.70   8.1   -1.0   8.20   0.44      -1.00       -1     1471     -1.0    -1.00     0.02     -1.0     0.05     0.02
R05   SMC       L49   7.63   0.68   7.3   -1.0   7.40   0.20      -1.00       -1     1396     -1.0    -1.00     0.07     -1.0     0.07     0.02
R05   SMC       L34   8.61   1.10   8.5   -1.0   8.40   0.48      -1.00       -1     1467     -1.0    -1.00     0.02     -1.0     0.05     0.02
R05   SMC       L63   7.40   0.77   7.8   -1.0   8.04   0.27      -1.00       -1     1372     -1.0    -1.00     0.13     -1.0     0.06     0.02
R05   SMC      HW67   9.10   1.10   9.2   -1.0   9.45   0.21      -1.00       -1     1064     -1.0    -1.00    0.015     -1.0     0.02    -1.00
R05   SMC       L72   7.72   3.13  7.75   -1.0   7.40   0.40      -1.00       -1     1484     -1.0    -1.00     0.04     -1.0     0.14     0.02
R05   SMC       L45   7.35   0.76   7.8   -1.0   8.15   0.29      -1.00       -1     1434     -1.0    -1.00     0.04     -1.0     0.07     0.02
R05   SMC       L27   9.75   0.67  9.15   -1.0   9.32   0.14      -1.00       -1     1254     -1.0    -1.00     0.02     -1.0     0.11     0.02
R05   SMC       L28   9.34   1.04   9.5   -1.0   9.00   0.30      -1.00       -1     1418     -1.0    -1.00     0.16     -1.0     0.08     0.02
C06   SMC       B47   8.40   0.50  9.05   -1.0   9.15   0.14      -1.00       -1     1457     -1.0     0.06     0.02     -1.0     0.01    -1.00
C06   SMC       B34   8.80   0.30  9.05   -1.0   9.08   0.25      -1.00       -1     1283     -1.0     0.08     0.04     -1.0     0.03    -1.00
C06   SMC      BS35   8.80   0.30   6.9   -1.0   8.70   0.10      -1.00       -1     1464     -1.0     0.06     0.18     -1.0     0.01    -1.00
C06   SMC     BS121   7.90   0.50  9.05   -1.0   9.36   0.17      -1.00       -1     1462     -1.0     0.03     0.14     -1.0     0.14     0.02
C06   SMC       B39   8.60   0.30  8.75   -1.0   9.18   0.10      -1.00       -1     1360     -1.0     0.06     0.04     -1.0     0.01    -1.00
C06   SMC       L62   8.00   0.30   7.6   -1.0   8.10   0.24      -1.00       -1     1473     -1.0     0.06     0.16     -1.0     0.06     0.02
C06   SMC      BS88   8.90   0.30  9.45   -1.0   9.30   0.10      -1.00       -1     1449     -1.0     0.06     0.05     -1.0     0.04    -1.00
C06   SMC    H86-70   8.80   0.30  8.75   -1.0   8.80   0.16      -1.00       -1     1492     -1.0     0.00     0.06     -1.0     0.04    -1.00
C06   SMC       L35   8.40   0.50  7.85   -1.0   8.34   0.23      -1.00       -1     1419     -1.0     0.06     0.06     -1.0     0.02     0.02
C06   SMC       L19   8.90   0.30  9.15   -1.0   9.32   0.14      -1.00       -1     1424     -1.0     0.03      0.1     -1.0     0.01     0.02
C06   SMC    NGC294   8.60   0.30  8.65   -1.0   8.51   0.47      -1.00       -1     1489     -1.0     0.10        0     -1.0     0.06     0.02
C06   SMC       L30   8.00   0.30   8.1   -1.0   8.20   0.44      -1.00       -1     1471     -1.0     0.16     0.02     -1.0     0.05     0.02
C06   SMC       L34   8.40   0.50   8.5   -1.0   8.40   0.48      -1.00       -1     1467     -1.0     0.06     0.02     -1.0     0.05     0.02
C06   SMC       L63   7.70   0.30   7.8   -1.0   8.04   0.27      -1.00       -1     1372     -1.0     0.06     0.13     -1.0     0.06     0.02
C06   SMC       L72   7.20   0.30  7.75   -1.0   7.40   0.40      -1.00       -1     1484     -1.0     0.06     0.04     -1.0     0.14     0.02
G10   LMC    BRHT4B   7.95   0.30  8.05   -1.0   8.00   0.25      -1.00       -1     1451     -1.0     0.03     0.14     -1.0     0.15     0.03
G10   LMC   BSDL268   7.50   0.30  7.95   -1.0   7.95   0.10      -1.00       -1     1446     -1.0     0.10     0.04     -1.0     0.10     0.05
G10   SMC       B34   8.70   0.30  9.05   -1.0   9.08   0.25      -1.00       -1     1283     -1.0     0.14     0.04     -1.0     0.03    -1.00
G10   SMC      B112   7.10   0.30  8.95   -1.0   9.20   0.09      -1.00       -1     1395     -1.0     0.04     0.04     -1.0     0.05    -1.00
G10   LMC   BRHT45A   8.00   0.40     8   -1.0   8.10   0.10      -1.00       -1     1319     -1.0     0.15     0.07     -1.0     0.08     0.05
G10   LMC   KMHK378   7.40   0.30  6.95   -1.0   8.45   0.10      -1.00       -1     1293     -1.0     0.08      0.2     -1.0     0.07     0.05
G10   SMC     BS265   8.80   0.30  9.05   -1.0   8.80   0.16      -1.00       -1     1462     -1.0     0.05     0.03     -1.0     0.07    -1.00
G10   SMC      BS35   8.85   0.30   6.9   -1.0   8.70   0.10      -1.00       -1     1464     -1.0     0.10     0.18     -1.0     0.01    -1.00
G10   LMC   H88-320   8.00   0.40  8.05   -1.0   8.20   0.10      -1.00       -1     1423     -1.0     0.15      0.2     -1.0     0.17     0.05
G10   LMC      HS38   8.40   0.40   8.8   -1.0   8.60   0.25      -1.00       -1     1497     -1.0     0.05     0.03     -1.0     0.05    -1.00
G10   LMC   BSDL631   7.50   0.40   7.1   -1.0   8.35   0.10      -1.00       -1     1451     -1.0     0.08     0.14     -1.0     0.00     0.05
G10   SMC       B39   8.65   0.30  8.75   -1.0   9.18   0.10      -1.00       -1     1360     -1.0     0.08     0.04     -1.0     0.01    -1.00
G10   SMC      HW42   8.70   0.40   8.6   -1.0   9.97   0.16      -1.00       -1      322     -1.0     0.10    0.135     -1.0     0.03     0.01
